kernel,status,clang,opt,bugle,vcgen,cruncher,boogiedriver,total
/datadrive/gpuverify-tests/OpenCL/sourcelocation_tests/ensures/fail/kernel.cl,FAIL(6),0.418,0.014,0.008,0.495,0.619,0.000,1.554
/datadrive/gpuverify-tests/OpenCL/sourcelocation_tests/ensures/pass/kernel.cl,PASS,0.417,0.015,0.009,0.506,0.580,0.536,2.063
/datadrive/gpuverify-tests/CUDASamples/6_Advanced_shfl_scan_shfl_intimage_rows/kernel.cu,FAIL(6),0.137,0.016,0.015,0.740,0.987,94.490,96.385
/datadrive/gpuverify-tests/OpenCL/sourcelocation_tests/loop_invariant/fail/entry/kernel.cl,FAIL(6),0.415,0.009,0.005,0.495,0.579,0.000,1.503
/datadrive/gpuverify-tests/OpenCL/sourcelocation_tests/loop_invariant/fail/maintained/kernel.cl,FAIL(6),0.416,0.011,0.005,0.499,0.620,0.000,1.552
/datadrive/gpuverify-tests/OpenCL/sourcelocation_tests/loop_invariant/pass/kernel.cl,PASS,0.425,0.009,0.006,0.503,0.662,0.463,2.067
/datadrive/gpuverify-tests/OpenCL/sourcelocation_tests/needs_source_location_ensures/kernel.cl,PASS,0.379,0.013,0.006,0.536,0.739,0.539,2.212
/datadrive/gpuverify-tests/OpenCL/sourcelocation_tests/race_from_bodiless_call/kernel.cl,FAIL(6),0.424,0.009,0.005,0.455,0.583,0.658,2.134
/datadrive/gpuverify-tests/OpenCL/sourcelocation_tests/needs_source_location_requires/kernel.cl,PASS,0.416,0.011,0.011,0.535,0.821,0.618,2.413
/datadrive/gpuverify-tests/OpenCL/sourcelocation_tests/races/fail/read_write/kernel.cl,FAIL(6),0.415,0.014,0.007,0.472,0.539,0.667,2.114
/datadrive/gpuverify-tests/OpenCL/sourcelocation_tests/race_from_call/kernel.cl,FAIL(6),0.419,0.009,0.006,0.495,0.703,0.657,2.288
/datadrive/gpuverify-tests/OpenCL/sourcelocation_tests/race_from_call_in_loop/kernel.cl,FAIL(6),0.419,0.015,0.006,0.537,0.739,0.660,2.376
/datadrive/gpuverify-tests/OpenCL/sourcelocation_tests/race_with_loop/kernel.cl,FAIL(6),0.380,0.012,0.005,0.579,0.702,0.741,2.419
/datadrive/gpuverify-tests/OpenCL/sourcelocation_tests/races/fail/write_read/kernel.cl,FAIL(6),0.427,0.016,0.009,0.418,0.537,0.699,2.106
/datadrive/gpuverify-tests/OpenCL/sourcelocation_tests/races/fail/write_write/elem_width_16/kernel.cl,FAIL(6),0.418,0.017,0.025,0.415,0.579,0.661,2.115
/datadrive/gpuverify-tests/OpenCL/sourcelocation_tests/races/fail/write_write/normal/kernel.cl,FAIL(6),0.436,0.014,0.014,0.471,0.583,0.659,2.177
/datadrive/gpuverify-tests/OpenCL/sourcelocation_tests/races/fail/write_write/loop/kernel.cl,FAIL(6),0.417,0.010,0.006,0.587,0.779,0.778,2.576
/datadrive/gpuverify-tests/OpenCL/sourcelocation_tests/requires/kernel.cl,FAIL(6),0.459,0.010,0.006,0.456,0.616,0.000,1.547
